date,강남구 맛집,강동구 맛집,강북구 맛집,강서구 맛집,관악구 맛집,광진구 맛집,구로구 맛집,금천구 맛집,노원구 맛집,도봉구 맛집,동대문구 맛집,동작구 맛집,마포구 맛집,서대문구 맛집,서초구 맛집,성동구 맛집,성북구 맛집,송파구 맛집,양천구 맛집,영등포구 맛집,용산구 맛집,은평구 맛집,종로구 맛집,중구 맛집,중량구 맛집
2016-11-27,0,39,0,0,0,0,0,0,0,51,0,0,0,0,0,0,0,0,0,0,0,39,0,0,0
2016-12-04,37,73,0,0,0,48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37,37,0
2016-12-11,0,0,0,0,0,0,0,0,0,0,0,0,36,0,0,0,39,0,0,0,0,0,0,38,0
2016-12-18,0,0,0,39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-12-25,0,0,0,39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41,0,0,0,0,0
2017-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39,0,0,0,38,0
2017-01-08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39,0,0,0,0,0,0,0
2017-01-15,0,0,37,0,0,0,0,0,0,0,0,0,35,0,0,0,0,0,0,0,0,0,0,0,0
2017-01-22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41,0,0,0,39,0,0,0
2017-01-29,0,0,0,0,0,0,0,0,0,47,0,0,0,0,0,0,0,0,0,0,0,36,0,72,0
2017-02-05,36,0,0,0,36,0,0,0,0,0,0,0,0,0,0,0,37,0,0,37,0,0,0,71,0
2017-02-12,0,0,0,70,0,0,0,0,0,46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017-02-19,0,35,0,35,0,0,0,0,46,0,0,0,33,0,0,0,0,0,0,0,0,0,0,0,0
2017-02-26,0,0,36,71,0,0,0,0,0,0,34,0,34,0,0,0,73,0,0,0,0,0,0,0,0
2017-03-05,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37,0,0,0,0,0,36,0
2017-03-12,0,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35,0
2017-03-19,0,0,0,0,0,0,0,0,46,46,0,0,100,0,0,0,0,0,0,0,0,35,0,0,0
2017-03-26,0,0,0,0,0,0,0,46,46,46,0,0,0,0,0,0,0,36,0,0,0,0,0,0,0
2017-04-02,0,0,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017-04-09,0,0,0,35,0,0,0,91,0,0,0,0,0,0,0,0,0,36,0,36,0,35,35,0,0
2017-04-16,0,70,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017-04-23,0,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017-04-30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017-05-07,0,34,0,34,0,45,0,0,0,0,0,0,0,0,32,0,0,0,0,0,0,34,34,0,0
2017-05-14,0,0,0,0,0,0,0,51,51,0,0,0,74,0,0,0,0,40,0,0,0,0,39,39,0
2017-05-21,0,0,0,0,0,0,0,0,51,51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017-05-28,0,39,0,39,77,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39,0
2017-06-04,0,0,0,0,0,0,0,0,0,0,0,0,37,0,0,0,0,0,0,0,0,38,0,0,0
2017-06-11,38,0,0,76,0,0,0,0,0,0,0,0,36,0,36,0,0,0,0,0,0,0,0,38,0
2017-06-18,0,37,0,37,37,0,0,0,49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017-06-25,0,39,0,0,0,0,0,0,0,0,0,0,37,0,0,0,0,0,0,0,0,0,0,0,0
2017-07-02,0,0,0,78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39,0,0,0
2017-07-09,0,0,0,0,0,0,0,0,50,0,0,0,0,0,0,0,0,0,0,0,0,38,0,38,0
2017-07-16,0,0,0,38,0,0,0,50,100,0,0,0,36,0,0,0,0,0,0,0,0,0,0,38,0
2017-07-23,0,0,0,38,0,0,0,0,0,0,0,0,36,0,0,0,0,0,0,0,0,0,0,0,0
2017-07-30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39,39,0,0,0,0,0,38,0
2017-08-06,0,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37,0,74,0
2017-08-13,0,0,0,38,0,0,0,0,0,50,0,0,0,0,0,0,0,0,0,0,0,0,0,38,0
2017-08-20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38,0,0,0
2017-08-27,0,0,0,0,0,0,0,0,50,0,0,0,0,0,37,0,0,0,0,0,0,0,0,0,0
2017-09-03,0,38,0,38,0,0,0,0,0,99,0,0,0,0,0,0,0,0,0,39,0,0,0,0,0
2017-09-10,0,0,0,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37,0,0
2017-09-17,0,0,0,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017-09-24,0,38,0,76,0,0,0,0,0,0,0,0,0,0,37,0,0,0,0,0,0,0,0,0,0
2017-10-01,0,0,0,85,42,0,0,0,56,0,0,0,0,0,0,0,0,44,0,0,0,42,0,42,0
2017-10-08,0,37,0,0,0,0,0,0,0,0,0,0,35,0,0,0,38,0,0,0,0,0,0,0,0
2017-10-15,0,37,0,37,37,0,0,0,49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37,0
2017-10-22,0,37,0,0,0,0,0,0,49,0,0,0,0,0,0,0,0,0,0,0,0,37,0,0,0
2017-10-29,0,0,0,0,37,48,0,0,0,0,0,0,35,0,0,0,0,0,0,0,0,0,0,0,0
2017-11-05,0,0,0,36,0,47,0,0,0,0,0,0,0,0,0,0,37,0,0,0,0,0,0,0,0
2017-11-12,0,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017-11-19,0,0,0,68,0,0,0,0,0,0,0,0,32,0,0,0,0,0,0,0,0,0,0,68,0
2017-11-26,0,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34,0
2017-12-03,0,0,0,0,35,45,0,0,0,0,0,0,0,0,0,0,0,36,0,0,0,0,0,0,0
2017-12-10,0,0,0,0,34,0,0,45,0,0,0,0,0,0,0,0,0,0,0,36,0,0,34,34,0
2017-12-17,0,0,0,35,35,0,0,0,0,0,0,0,0,0,0,0,36,0,0,0,0,0,0,69,0
2017-12-24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37,0,0,0,0,0
2017-12-31,0,34,0,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2018-01-07,0,0,0,33,0,0,0,0,0,0,0,0,32,0,0,0,0,0,0,0,0,0,0,66,0
2018-01-14,0,0,0,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,0
2018-01-21,0,34,0,0,0,0,0,0,0,0,0,0,0,0,32,0,0,0,0,35,0,0,0,34,0
2018-01-28,0,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2018-02-04,0,34,0,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2018-02-11,37,0,0,37,0,0,0,0,49,0,0,0,0,0,0,0,0,0,0,39,0,0,0,37,0
2018-02-18,0,34,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35,0,0,0,34,0,0,0
2018-02-25,0,0,0,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2018-03-04,0,0,0,35,0,0,0,0,46,0,0,0,0,0,0,0,0,36,0,0,0,0,0,35,0
2018-03-11,0,0,0,0,0,91,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2018-03-18,0,0,0,0,0,44,0,44,0,0,0,0,0,0,0,0,35,0,0,0,0,0,0,0,0
2018-03-25,0,34,0,0,0,0,0,89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2018-04-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,0
2018-04-08,0,34,0,0,0,44,0,0,0,0,0,0,0,0,0,0,35,0,0,0,0,67,0,0,0
2018-04-15,0,0,0,0,0,0,0,0,44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,67,0
2018-04-22,0,0,0,0,0,0,0,44,0,0,0,0,32,0,0,0,0,0,0,0,0,0,0,0,0
2018-04-29,0,67,0,34,0,44,0,0,0,0,32,0,0,0,0,0,0,0,0,0,0,34,0,0,0
2018-05-06,0,0,0,64,0,0,0,0,0,0,31,0,0,0,0,0,0,33,0,0,0,32,0,32,0
2018-05-13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,66,0,0,0,0,0
2018-05-20,0,0,0,0,0,0,0,0,0,0,0,0,62,0,31,0,0,0,0,0,0,0,0,33,0
2018-05-27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2018-06-03,0,0,0,0,0,0,0,0,44,44,0,0,0,0,0,0,0,0,0,0,0,33,0,0,0
2018-06-10,0,64,0,32,0,42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2018-06-17,0,0,0,33,0,0,0,0,0,0,0,0,32,0,0,0,0,34,0,0,0,0,0,33,0
2018-06-24,0,0,0,100,0,0,0,0,44,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0
2018-07-01,0,33,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2018-07-08,0,33,0,65,0,43,0,0,0,43,0,0,0,0,0,0,0,34,0,34,0,0,0,65,0
2018-07-15,34,0,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2018-07-22,33,0,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34,0,0,0,33,33,33,0
2018-07-29,0,0,0,32,0,42,0,0,0,0,0,0,0,0,31,0,0,33,0,0,0,32,0,65,0
2018-08-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,65,0,0,0,0,0,0,0
2018-08-12,0,33,0,0,0,0,0,0,43,0,0,0,0,0,0,0,0,0,0,0,0,0,33,99,0
2018-08-19,0,0,0,0,0,0,0,0,0,0,0,0,31,0,0,0,0,33,0,0,0,0,0,0,0
2018-08-26,0,32,0,0,0,0,0,0,42,0,0,0,0,0,0,0,0,0,0,0,0,32,32,0,0
2018-09-02,0,32,0,65,0,0,0,42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,0
2018-09-09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2018-09-16,33,33,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,0,0
2018-09-23,0,0,36,0,0,0,0,0,47,47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2018-09-30,0,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34,0,33,0,33,0
2018-10-07,0,0,0,0,0,46,0,46,0,46,34,0,0,0,0,0,0,36,0,0,0,0,0,0,0
2018-10-14,0,0,0,67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34,0
2018-10-21,0,0,0,0,0,0,0,0,0,0,0,0,65,0,0,0,0,0,0,0,0,0,0,0,0
2018-10-28,0,0,0,0,0,0,0,0,0,0,34,0,0,0,33,0,0,0,0,0,0,0,35,0,0
2018-11-04,33,0,0,0,0,0,0,44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,0
2018-11-11,0,34,0,34,0,0,0,0,88,0,0,0,0,0,0,0,0,0,0,35,0,0,34,0,0
2018-11-18,0,0,0,33,0,0,0,0,0,0,0,0,32,0,0,0,0,34,0,0,0,0,0,0,0
2018-11-25,0,0,0,0,0,0,0,0,44,0,0,0,0,0,0,0,0,0,0,0,0,33,0,0,0
2018-12-02,0,34,0,0,0,0,0,0,44,0,0,0,0,0,32,0,0,0,0,35,0,0,0,34,0
2018-12-09,0,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35,0,0,0,34,0
2018-12-16,0,34,0,34,0,0,0,0,0,0,0,0,33,0,0,0,0,36,0,0,0,34,0,34,0
2018-12-23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35,0,0,0,0,0,0,0,0,0,0
2018-12-30,0,0,0,0,0,0,0,0,0,0,0,0,34,0,0,0,37,0,0,0,0,72,0,0,0
2019-01-06,0,0,0,34,0,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019-01-13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35,0,0,0,0,0,0,34,0
2019-01-20,0,68,0,34,0,0,0,44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019-01-27,0,0,0,34,0,0,0,0,0,0,0,0,0,0,0,0,35,0,0,0,0,0,0,0,0
2019-02-03,0,0,0,0,0,0,0,0,0,48,0,0,0,0,0,0,38,0,0,0,0,0,0,0,0
2019-02-10,0,0,0,0,0,42,0,0,0,0,0,0,0,0,0,0,0,33,0,0,0,0,32,32,0
2019-02-17,0,0,0,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,0
2019-02-24,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34,0,0,0
2019-03-03,0,34,0,0,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019-03-10,0,0,0,66,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019-03-17,0,0,0,0,0,0,0,0,0,43,0,0,0,0,0,0,0,0,0,34,0,33,0,0,0
2019-03-24,0,33,0,0,0,0,0,0,0,0,0,0,31,0,0,0,0,0,0,0,0,0,33,33,0
2019-03-31,0,0,0,0,0,0,0,0,0,0,0,0,32,0,0,0,0,0,0,35,0,33,33,0,0
2019-04-07,0,32,0,0,0,0,0,0,0,0,0,0,31,0,0,0,0,0,0,0,0,0,0,32,0
2019-04-14,0,0,33,33,0,0,0,43,0,0,0,0,0,0,0,0,34,0,0,0,0,0,0,33,0
2019-04-21,0,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34,0,0,0,33,0,0,0
2019-04-28,0,33,0,67,0,0,0,0,44,44,0,0,32,0,0,0,0,0,0,0,0,0,0,67,0
2019-05-05,0,0,0,0,0,0,0,0,44,0,0,0,0,0,0,0,0,0,0,0,0,33,0,0,0
2019-05-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,0,0,0,32,0,0,0
2019-05-19,0,0,0,0,0,0,0,0,42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,0
2019-05-26,32,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,33,0,0,0,0,0,0,0
2019-06-02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019-06-09,0,0,0,0,0,42,0,0,0,42,30,0,0,0,0,0,0,0,0,0,0,0,0,32,0
2019-06-16,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,64,0,0
2019-06-23,0,0,0,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,0
2019-06-30,0,32,0,0,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,0,32,0
2019-07-07,0,0,0,0,0,0,0,0,0,0,0,0,31,0,0,0,0,0,0,0,0,0,0,32,0
2019-07-14,33,0,33,99,0,0,0,0,0,0,0,0,0,0,0,0,34,34,0,0,0,0,0,0,0
2019-07-21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36,0,0,0,0,0
2019-07-28,0,0,35,0,0,0,0,46,0,0,0,0,33,0,0,0,0,0,0,0,0,0,0,0,0
2019-08-04,0,0,0,0,0,45,0,0,0,0,0,0,33,0,33,0,0,0,0,0,0,0,34,34,0
2019-08-11,0,33,0,66,33,43,0,0,0,0,0,0,0,0,0,0,68,0,0,0,0,0,0,33,0
2019-08-18,0,0,0,0,32,42,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,32,0,64,0
2019-08-25,32,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,0,0,66,0,0,0,0,0
2019-09-01,0,0,0,0,0,0,0,40,0,0,0,0,0,0,0,0,0,0,0,0,0,30,0,0,0
2019-09-08,0,0,0,0,0,0,0,0,0,0,0,0,32,0,32,0,0,0,0,0,0,34,0,0,0
2019-09-15,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,0,0,0,0,0,61,0
2019-09-22,0,0,0,0,0,0,0,0,0,0,0,0,29,0,29,0,32,0,0,0,0,0,0,0,0
2019-09-29,0,0,0,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,0,0,31,31,0
2019-10-06,0,0,0,0,0,0,0,0,41,0,0,0,0,0,0,0,0,32,0,0,0,0,0,0,0
2019-10-13,0,31,0,0,0,40,0,0,0,0,0,0,0,0,29,0,0,0,0,0,0,0,0,31,0
2019-10-20,0,0,0,62,31,0,0,40,81,0,0,0,0,0,0,0,0,0,0,32,0,0,61,0,0
2019-10-27,0,0,31,31,0,0,0,0,0,0,30,0,0,0,0,0,0,0,0,0,0,31,0,0,0
2019-11-03,0,0,31,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31,0,31,0
2019-11-10,0,0,0,30,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019-11-17,30,0,0,0,30,40,0,0,40,0,0,0,0,0,0,0,0,31,0,0,0,30,0,0,0
2019-11-24,0,29,0,29,29,39,0,0,39,0,0,0,0,0,0,0,0,30,0,0,0,0,29,0,0
2019-12-01,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29,0,29,0
2019-12-08,0,0,29,29,0,38,0,0,0,0,0,0,28,0,0,0,0,0,0,0,0,0,0,29,0
2019-12-15,0,0,0,56,0,0,0,0,37,0,0,0,0,0,0,0,0,29,0,0,0,0,0,56,0
2019-12-22,30,0,0,89,0,0,0,0,39,0,0,0,0,0,0,0,0,0,0,0,0,30,30,89,0
2019-12-29,0,29,0,29,0,38,0,0,77,0,0,0,0,0,0,0,0,0,0,0,0,0,0,58,0
2020-01-05,0,0,0,0,0,0,0,0,36,0,0,0,26,0,0,0,28,28,0,0,0,0,0,0,0
2020-01-12,0,0,0,0,0,0,0,0,0,0,0,0,52,0,0,0,0,0,0,0,0,27,0,27,0
2020-01-19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-01-26,0,0,0,28,28,0,0,0,0,0,27,0,0,0,0,0,0,0,0,0,0,28,0,56,0
2020-02-02,27,0,0,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,57,0,0,27,82,0
2020-02-09,0,0,0,0,0,34,0,34,0,0,0,0,0,0,0,0,27,0,0,0,0,0,0,26,0
2020-02-16,0,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,0,0,0,0,0
2020-02-23,0,0,0,47,0,0,0,0,0,0,0,0,22,0,22,0,0,0,0,0,0,0,0,0,0
2020-03-01,0,0,0,0,0,0,0,0,0,0,0,0,23,0,0,0,0,0,0,0,0,24,0,24,0
2020-03-08,0,0,0,0,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-03-15,0,0,0,23,0,0,0,0,0,30,0,0,0,0,22,0,0,0,0,0,0,0,0,0,0
2020-03-22,0,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,0,0,0
2020-03-29,0,46,0,23,0,61,0,0,0,0,0,0,44,0,0,0,0,0,0,0,0,0,0,0,0
2020-04-05,0,0,0,0,0,30,0,0,0,0,0,0,22,0,0,0,0,23,0,0,0,0,0,23,0
2020-04-12,0,0,0,0,0,0,0,0,0,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-04-19,0,0,0,0,21,28,0,0,0,0,21,0,0,0,0,0,0,22,0,0,0,0,0,0,0
2020-04-26,0,0,0,0,0,0,0,0,0,31,45,0,0,0,0,0,0,0,0,24,0,0,23,0,0
2020-05-03,23,0,0,0,0,30,0,0,30,0,0,0,22,0,0,0,0,24,0,0,0,0,0,0,0
2020-05-10,0,22,0,43,0,0,0,28,0,0,0,0,0,0,0,0,0,22,0,0,0,0,22,0,0
2020-05-17,22,22,0,22,22,0,0,0,0,0,21,0,0,0,0,0,23,0,0,0,0,22,22,0,0
2020-05-24,0,22,0,0,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,0,22,0,22,0
2020-05-31,22,0,0,22,0,0,0,0,29,0,0,0,0,0,0,0,0,23,0,0,0,22,0,22,0
2020-06-07,0,43,0,0,0,0,0,0,0,0,0,0,21,0,0,0,0,0,0,0,0,22,0,0,0
2020-06-14,0,0,0,0,0,29,0,0,0,0,22,0,21,0,0,0,23,23,0,0,0,22,22,0,0
2020-06-21,0,22,0,0,22,0,0,0,29,0,0,0,0,0,0,0,0,0,0,0,0,0,22,44,0
2020-06-28,0,23,0,0,0,0,0,0,0,0,0,0,44,0,0,0,0,0,0,0,0,23,0,0,0
2020-07-05,22,0,0,22,0,0,0,0,0,29,0,0,0,0,21,0,0,23,0,0,0,0,0,0,0
2020-07-12,0,0,0,46,0,0,0,0,60,0,0,0,0,0,0,0,0,47,0,0,0,0,0,0,0
2020-07-19,0,46,0,46,0,0,0,0,0,0,0,0,22,0,0,0,0,0,0,24,0,23,0,0,0
2020-07-26,0,0,23,0,0,0,0,31,30,0,0,0,22,0,0,0,0,24,0,0,0,0,0,23,0
2020-08-02,0,0,0,0,23,0,0,0,0,0,0,0,0,0,0,0,0,71,0,24,0,0,0,23,0
2020-08-09,0,46,0,23,23,0,0,0,30,0,0,0,22,0,0,0,0,0,0,24,0,23,0,23,0
2020-08-16,23,0,0,23,0,0,0,0,30,0,0,0,22,0,0,0,0,0,0,24,0,0,0,23,0
2020-08-23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0
2020-08-30,0,0,0,0,0,0,0,0,0,26,0,0,0,0,0,0,0,0,0,21,0,0,0,0,0
2020-09-06,0,0,0,0,0,0,0,0,0,27,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0
2020-09-13,0,21,0,21,42,0,0,27,27,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0
2020-09-20,0,0,0,22,0,0,0,0,0,0,0,0,0,0,0,0,23,0,0,0,0,0,0,0,0
2020-09-27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,0,0
2020-10-04,0,24,0,0,0,31,0,0,0,0,23,0,0,0,0,0,24,0,0,0,0,0,0,0,0
2020-10-11,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,53,0,26,0,26,0,0,0
2020-10-18,0,26,0,0,0,0,0,0,34,0,0,0,0,0,0,0,0,26,0,0,0,0,0,0,0
2020-10-25,0,0,0,52,0,34,0,0,0,0,0,0,0,0,25,0,0,0,0,0,0,51,0,0,0
2020-11-01,24,0,0,24,24,32,0,0,0,0,0,0,0,0,0,0,0,25,0,0,0,0,0,24,0
2020-11-08,0,0,0,0,0,0,0,0,0,68,0,0,0,0,0,0,0,27,0,0,0,0,0,26,0
2020-11-15,0,0,0,0,0,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,0
2020-11-22,0,25,0,0,0,32,0,0,0,0,0,0,24,0,0,0,0,0,0,25,0,25,0,0,0
2020-11-29,0,0,0,0,0,0,0,0,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,0
2020-12-06,0,0,0,0,0,0,0,0,0,31,0,0,0,0,0,0,24,0,0,0,0,0,0,0,0
2020-12-13,0,0,0,0,0,0,0,0,62,0,0,0,0,0,0,0,0,0,0,0,0,0,23,0,0
2020-12-20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,0
2020-12-27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,0,0,0
2021-01-03,0,0,24,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-01-10,0,0,0,0,0,31,0,0,0,0,0,0,0,0,23,0,0,0,0,0,0,24,0,0,0
