,기간,강남구 카페,강동구 카페,강북구 카페,강서구 카페,관악구 카페,광진구 카페,구로구 카페,금천구 카페,노원구 카페,도봉구 카페,동대문구 카페,동작구 카페,마포구 카페,서대문구 카페,서초구 카페,성동구 카페,성북구 카페,송파구 카페,양천구 카페,영등포구 카페,용산구 카페,은평구 카페,종로구 카페,중구 카페,중량구 카페
0,2017-01-01,0.32167,10.26672,0.57633,14.09998,1.66197,26.78428,2.80673,10.34482,14.03368,12.10906,0.75308,1.18667,3.46873,1.04974,1.14103,7.44047,19.84126,22.71825,3.32341,0.54563,0.28708,5.39712,0.45933,0.32535,0.04784
1,2017-02-01,0.14743,11.17812,1.00522,14.6361,1.3403,29.83159,3.04731,8.98155,13.07137,14.03368,0.95846,2.14513,2.64719,0.75308,1.02692,8.43253,19.39484,24.50396,4.8115,0.54563,0.27751,5.37799,0.53588,0.55502,0.05741
2,2017-03-01,0.17423,9.50274,1.07224,15.13201,0.99182,26.5437,1.84442,9.14194,16.68003,18.52445,0.89,1.62026,2.28206,0.59333,0.75308,10.11904,24.50396,21.52777,4.11706,0.24801,0.04784,6.06698,0.2488,0.44019,
3,2017-04-01,0.29486,7.65312,0.85779,14.47527,1.00522,37.04891,1.52365,13.23175,15.79791,18.20368,0.73026,2.12231,2.37334,1.04974,0.98128,7.63888,20.78373,19.14682,3.37301,0.74404,0.30622,5.07177,0.41148,0.7177,
4,2017-05-01,0.14743,10.91006,0.54952,13.22878,1.44752,25.82197,1.36327,12.10906,16.43945,18.28388,0.57051,2.67001,3.46873,0.57051,0.66179,6.25,23.26388,16.22023,4.11706,0.24801,0.10526,6.83253,0.57416,0.93779,
5,2017-06-01,0.21444,10.1997,0.80418,17.7054,1.76919,33.68083,1.76423,10.74578,51.72413,19.64715,0.82154,2.05385,3.49155,0.70743,1.32359,6.59722,23.71031,20.3373,6.20039,0.24801,0.05741,7.23444,0.7177,0.70813,
6,2017-07-01,0.08041,10.46776,1.39391,17.18268,1.83621,41.61988,4.41058,12.99117,19.72734,21.57177,0.45641,1.73436,5.2031,0.89,2.62437,8.08531,23.80952,24.40476,7.19246,1.14087,0.47846,8.47846,0.57416,0.97607,
7,2017-08-01,0.22785,13.48344,1.47433,18.71062,1.54134,44.6672,2.88692,15.63753,21.251,22.05292,1.39205,1.73436,4.40438,1.18667,2.55591,11.45833,24.45436,28.125,8.23412,0.69444,0.34449,11.69377,0.4976,1.44497,
8,2017-09-01,0.29486,25.29151,0.68355,14.39485,1.75579,40.25661,1.84442,10.98636,12.99117,18.68484,1.46052,1.78,2.80693,1.07256,2.00821,9.4742,23.90873,22.17261,3.67063,0.24801,0.15311,7.97129,0.18181,1.25358,
9,2017-10-01,0.41549,17.81262,1.12585,18.92507,1.66197,42.82277,1.0425,14.51483,16.03849,26.38331,1.34641,1.64308,5.06617,1.6659,1.59744,10.16865,27.43055,26.73611,7.68849,0.24801,0.42105,9.19617,0.90909,0.98564,
10,2017-11-01,0.29486,22.66452,0.79077,14.38145,1.83621,28.38813,2.56615,9.86367,14.19406,13.71291,0.43359,1.75718,3.42309,1.02692,1.34641,8.77976,24.70238,23.61111,4.46428,0.99206,0.32535,8.17224,0.7177,0.60287,
11,2017-12-01,0.12062,26.06889,1.07224,18.12089,2.2517,41.70008,2.64635,13.07137,20.68965,17.32157,1.04974,1.18667,3.74258,0.61615,1.6659,8.97817,22.56944,28.86904,6.49801,0.54563,0.39234,9.01435,0.88995,0.99521,
12,2018-01-01,0.21444,23.09341,1.8094,16.99504,2.60018,41.13873,4.65116,14.11387,18.20368,20.60946,2.16795,2.35052,6.45823,1.39205,2.48744,12.79761,28.52182,33.23412,7.73809,0.29761,0.45933,11.19617,1.25358,1.38755,
13,2018-02-01,0.33507,17.07545,1.30009,16.92802,2.26511,39.53488,4.33039,18.0433,17.48195,27.82678,1.25513,2.00821,5.40848,1.87129,2.92104,13.09523,26.6865,32.19246,9.375,0.84325,0.43062,13.32057,1.41626,1.5598,
14,2018-03-01,0.37528,16.88781,1.796,20.39941,2.49296,56.69607,3.1275,12.02886,21.49157,33.52044,2.39616,1.91693,4.70104,2.09949,3.01232,12.6488,31.05158,31.69642,11.30952,1.48809,0.7177,31.56937,0.90909,1.26315,
15,2018-04-01,0.41549,21.75311,1.91663,21.12317,2.2383,50.28067,2.96712,20.2085,21.33119,30.95429,1.64308,3.74258,5.81926,2.4418,3.74258,10.66468,30.85317,28.1746,6.3988,1.04166,1.02392,34.14354,0.82296,1.68421,
16,2018-05-01,0.08041,29.86194,2.47956,23.30786,2.33212,54.77145,4.89174,24.21812,21.1708,33.36006,1.32359,2.92104,10.9539,2.39616,9.01414,12.94642,38.09523,44.14682,8.18452,0.49603,3.68421,26.79425,1.62679,1.69377,
17,2018-06-01,0.17423,35.11593,1.93003,19.32716,2.55997,42.02085,5.69366,19.32638,21.33119,31.27506,2.25924,3.26335,4.08489,1.59744,2.46462,11.95436,34.02777,23.5615,7.39087,1.14087,0.70813,28.54545,0.63157,1.69377,
18,2018-07-01,0.4557,37.05937,2.76102,22.10159,2.60018,47.87489,6.09462,19.72734,28.30793,34.48275,2.41898,3.08078,5.089,1.87129,3.51437,15.02976,40.27777,29.16666,10.06944,0.64484,0.73684,51.78947,1.37799,1.91387,
19,2018-08-01,0.54952,30.73314,2.55997,25.38533,2.85484,65.83801,5.85404,22.53408,22.05292,38.73295,2.89821,2.3277,6.98311,3.33181,3.69694,12.94642,40.57539,31.05158,8.68055,0.69444,1.15789,88.01913,1.54066,2.22966,
20,2018-09-01,0.22785,23.56252,1.97024,22.93258,2.86824,46.67201,5.53327,15.55733,21.89254,31.59582,1.98539,2.19078,3.92514,4.19899,2.78411,12.15277,34.375,24.65277,6.99404,0.49603,0.5933,100.0,1.04306,1.7799,
21,2018-10-01,0.25465,23.66974,1.42072,22.54389,2.29191,43.62469,5.37289,23.01523,19.96792,28.14755,2.03103,3.30899,6.91465,3.56001,2.12231,14.78174,35.91269,28.81944,8.18452,1.04166,0.58373,78.68899,1.41626,1.13875,
22,2018-11-01,0.4557,23.77697,1.50113,19.44779,1.62176,39.2943,3.44827,17.80272,19.24619,23.73696,3.03514,3.94796,5.4313,9.40209,2.69283,10.51587,28.72023,26.43849,8.73015,1.38888,0.65071,61.10047,1.30143,2.36363,
23,2018-12-01,0.52271,20.03752,2.31872,22.50368,2.81463,47.87489,5.45308,22.45388,16.76022,30.15236,2.05385,2.4418,6.869,4.47284,5.49977,11.75595,32.98611,30.50595,6.84523,0.79365,0.73684,75.82775,3.35885,2.2488,
24,2019-01-01,0.38868,18.10749,2.46615,23.4553,3.20332,54.93183,8.66078,31.11467,20.36888,28.94947,2.19078,3.7654,15.06161,4.99771,4.86079,16.51785,40.12896,36.65674,9.4246,2.28174,1.00478,24.01913,4.42105,2.06698,
25,2019-02-01,0.36188,15.22584,2.64039,22.28923,3.29714,51.96471,5.85404,26.30312,21.33119,34.48275,3.17206,4.24463,7.34824,2.76129,5.02053,18.70039,32.78769,29.66269,10.51587,2.82738,0.88995,18.42105,2.32535,2.09569,
26,2019-03-01,0.34847,16.78059,2.49296,26.9937,3.35075,48.67682,8.01924,25.26062,27.02485,31.75621,3.17206,4.72387,7.05157,3.99361,5.27156,16.46825,40.7738,34.62301,13.19444,2.18253,0.90909,17.28229,1.80861,1.9043,
27,2019-04-01,0.4825,14.42165,2.98887,24.29969,2.70741,52.20529,5.93424,37.61026,19.32638,25.58139,3.67412,4.6554,6.45823,2.64719,3.62848,15.02976,32.9365,25.74404,12.5992,1.53769,0.56459,16.88995,1.42583,2.13397,
28,2019-05-01,0.60313,17.15587,2.37233,23.88419,3.5518,48.43624,3.36808,26.46351,22.53408,34.08179,2.87539,4.90643,5.88772,2.85257,2.94386,16.31944,36.0615,25.94246,10.76388,3.125,0.76555,14.66985,1.25358,2.01913,
29,2019-06-01,0.40209,19.09931,2.77442,28.84331,3.40436,49.15797,6.73616,24.77947,24.93985,29.02967,3.28617,4.22181,6.66362,2.73847,4.47284,12.5992,36.90476,31.69642,13.93849,5.30753,0.83253,17.57894,1.57894,2.3732,
30,2019-07-01,0.9114,21.72631,3.27033,29.71451,4.15493,73.13552,6.3352,32.47794,21.41138,34.96391,3.03514,5.63669,7.21131,3.37745,6.54952,15.02976,37.5,32.68849,13.83928,4.36507,1.19617,23.95215,2.33492,2.89952,
31,2019-08-01,0.80418,25.65339,3.27033,31.76517,3.77965,78.42822,6.81635,34.32237,26.06255,42.42181,3.46873,5.2031,8.3067,4.26745,7.94157,18.10515,43.55158,31.79563,12.05357,3.42261,1.44497,22.36363,2.28708,3.20574,
