,기간,강남구 숙소,강동구 숙소,강북구 숙소,강서구 숙소,관악구 숙소,광진구 숙소,구로구 숙소,금천구 숙소,노원구 숙소,도봉구 숙소,동대문구 숙소,동작구 숙소,마포구 숙소,서대문구 숙소,서초구 숙소,성동구 숙소,성북구 숙소,송파구 숙소,양천구 숙소,영등포구 숙소,용산구 숙소,은평구 숙소,종로구 숙소,중구 숙소,중량구 숙소
0,2017-01-01,12.26685,10.80822,0.98039,41.53515,3.77809,32.26324,10.52969,2.4077,8.15409,2.24719,3.97111,4.85976,18.07831,4.85976,16.52318,1.16663,6.25108,22.47954,1.89796,0.64426,1.3537,2.34409,3.21505,2.96123,0.02488
1,2017-02-01,12.24294,9.42132,0.83692,41.72644,4.04112,34.44622,8.41091,3.37078,8.2825,1.63723,3.94334,4.30435,20.66092,8.21993,20.16106,1.14922,7.1043,22.9845,1.60195,1.04475,1.22928,1.83646,3.40914,2.31921,0.02488
2,2017-03-01,11.90817,8.63223,1.29124,41.60688,2.72596,32.77688,8.3467,3.94863,10.27287,2.11878,2.33268,2.13829,17.32851,5.66509,14.41266,0.62685,3.69145,14.31307,0.88803,1.07957,1.25416,1.69213,2.36898,2.43866,0.02986
3,2017-04-01,12.02773,8.01052,1.50645,39.26351,2.17599,36.05136,5.68218,4.10914,7.76886,0.44943,2.30491,3.3324,19.52235,5.35962,14.02388,0.64426,3.6218,21.06912,1.00992,1.75866,1.10983,1.9559,3.55347,2.51828,0.05972
4,2017-05-01,13.22333,8.39311,0.86083,44.78718,2.0086,40.19261,7.0626,2.88924,7.83306,2.34349,2.99916,4.24881,24.27103,3.91557,15.13468,0.59202,3.91781,20.26815,0.45272,0.87062,1.42338,1.72199,2.43866,2.28437,0.02488
5,2017-06-01,14.82544,10.54519,2.08034,43.28072,4.20851,42.08667,8.89245,5.04012,10.11235,1.57303,5.35962,4.77645,24.07664,3.44348,18.74479,1.65418,5.95507,20.58157,1.34076,1.09698,1.68217,2.45856,2.94629,2.48842,0.02488
6,2017-07-01,14.92109,13.48637,2.46293,62.38641,5.45193,50.20866,14.31781,5.29695,9.88764,8.2504,3.11024,5.08192,25.04859,8.80311,26.46487,2.14173,5.0148,32.43949,1.79348,1.23628,2.38391,2.89653,3.77743,3.44398,
7,2017-08-01,17.19273,14.87326,1.69775,57.10186,5.33237,48.86035,18.13804,6.16372,10.27287,9.88764,4.41544,7.27575,24.52096,9.38628,32.12996,1.49747,5.7113,26.62371,1.63677,1.88055,2.0206,2.39884,4.2353,3.42905,
8,2017-09-01,12.52989,10.04304,1.17168,46.15016,4.9976,45.23274,11.65329,4.23756,10.24077,8.89245,4.97084,5.99833,31.68564,8.88642,18.80033,1.32335,8.16646,21.88751,1.75866,1.63677,2.17986,2.45359,4.51898,3.13542,
9,2017-10-01,18.69918,12.88857,2.27164,47.63271,5.54758,47.67255,24.8154,4.20545,13.77207,9.85553,7.02582,8.05331,26.21494,10.33046,23.4657,2.80341,11.82308,26.01427,2.33327,1.75866,2.52824,2.53819,4.91713,3.12546,
10,2017-11-01,17.88617,14.25155,4.20851,50.33476,8.24964,52.26324,31.10754,7.28731,23.82022,10.14446,12.21882,8.33101,29.01971,11.96889,24.24326,4.09193,10.37785,25.94462,1.75866,2.21138,3.16528,2.61285,5.46458,4.13079,
