,기간,강남구 맛집,강동구 맛집,강북구 맛집,강서구 맛집,관악구 맛집,광진구 맛집,구로구 맛집,금천구 맛집,노원구 맛집,도봉구 맛집,동대문구 맛집,동작구 맛집,마포구 맛집,서대문구 맛집,서초구 맛집,성동구 맛집,성북구 맛집,송파구 맛집,양천구 맛집,영등포구 맛집,용산구 맛집,은평구 맛집,종로구 맛집,중구 맛집,중량구 맛집
0,2017-01-01,3.84134,39.95778,9.19923,55.0954,9.94361,46.92695,14.29881,75.86859,39.10102,34.80678,20.81244,19.37359,21.00864,17.98561,18.00014,17.18462,37.71293,62.89134,29.69037,3.87315,5.97411,60.70129,6.96378,5.46944,0.3572
1,2017-02-01,3.83301,41.73541,9.26033,96.37807,10.82965,69.44731,14.41348,42.75885,41.1478,40.43687,23.6538,20.15841,21.24118,18.29082,17.68766,16.85658,36.91873,71.593,35.12315,5.21984,6.8327,52.54792,9.65099,5.97411,0.27855
2,2017-03-01,3.73579,51.49293,9.73807,93.96439,10.29636,59.92432,12.77949,26.92351,39.14688,36.8249,20.22382,18.50882,20.02761,16.93917,14.57016,17.99608,35.04834,67.74286,33.60957,5.29465,5.68245,57.82074,5.58413,6.01343,0.30804
3,2017-04-01,3.65525,49.34033,9.54642,63.60303,9.59364,66.99346,11.67297,25.41566,37.66769,41.165,19.16285,16.74296,26.04461,16.61216,12.04854,23.06629,31.90032,75.97836,25.12085,4.01127,4.75503,50.08356,5.67589,6.11174,0.22284
4,2017-05-01,4.04132,61.68097,11.74624,62.91142,12.45451,70.63983,13.79428,33.76906,46.22176,57.32714,33.09352,18.76317,27.17825,19.51893,15.56572,20.92541,37.80501,78.23434,29.59254,37.90285,8.34999,62.15631,6.62297,6.26904,0.37358
5,2017-06-01,3.49137,55.87589,9.32422,65.59175,15.08207,53.49157,13.32989,26.96938,38.75128,53.38263,32.5049,18.29082,39.2486,19.8532,13.97427,18.00184,32.46431,71.41459,24.9482,25.66758,7.47501,54.52728,9.48386,7.16368,0.11797
6,2017-07-01,4.38852,70.0636,14.97097,88.03988,19.14562,59.83258,14.51668,29.61816,45.0063,51.46772,25.02725,21.38652,35.17912,35.68781,18.10914,20.6837,36.72882,81.41689,38.95027,6.62983,7.90103,61.69097,19.98689,7.65852,0.1999
7,2017-08-01,4.5885,83.59303,17.66241,88.81204,38.84954,79.53216,15.90987,33.276,47.62068,95.6083,43.39074,18.6469,35.11372,100.0,24.69297,21.96132,40.65953,93.37016,94.59023,5.66873,50.79796,76.94576,39.54448,7.25872,0.14091
8,2017-09-01,3.87189,63.20306,13.82107,76.09921,15.71535,50.67079,11.49524,23.19688,35.34571,100.0,26.03735,15.09337,24.04621,24.62757,17.21531,16.91988,34.32895,81.42265,34.80087,4.28176,17.47992,61.56316,9.0349,6.79665,0.10158
9,2017-10-01,4.30519,59.0173,11.35183,70.05527,18.42624,55.03382,11.00217,24.65313,38.20662,79.82456,21.73533,15.74013,32.19242,17.48419,17.61499,17.24217,33.69014,79.42564,31.49746,4.58103,5.11551,53.98656,17.62739,6.46894,0.20317
10,2017-11-01,4.05799,50.35691,11.81568,73.51054,20.77049,49.79933,11.50097,24.77926,35.97064,65.97293,19.18465,15.63113,21.47373,16.96824,15.55846,17.5587,34.85842,76.90492,26.15676,4.69613,4.90578,54.98279,18.21399,6.27887,0.09503
11,2017-12-01,4.13576,71.28294,15.4126,74.11604,12.35452,59.33952,14.37335,29.57229,46.03256,48.71574,22.60736,18.90124,24.39502,18.87944,15.95814,19.46938,48.59,81.44567,28.89042,5.05294,7.74373,73.68179,16.15598,7.47828,0.09503
12,2018-01-01,4.10799,56.87026,15.56536,72.46896,12.62394,54.52356,12.75656,28.39123,41.40006,47.44295,22.89804,17.65133,25.57953,18.57423,17.50599,21.24194,40.72283,80.00115,33.14341,5.25437,8.97263,65.06963,14.19629,6.55743,0.11142
13,2018-02-01,3.28861,48.3793,12.80448,64.24186,10.01027,48.19974,11.34044,23.74154,35.35718,39.22141,18.13094,15.92907,20.98684,18.14548,17.84754,24.42449,35.45695,77.53798,22.03614,4.27601,6.84581,68.74979,7.79944,6.10191,0.14091
14,2018-03-01,6.32447,61.67541,13.65997,73.86328,13.50165,59.16752,16.5176,34.57172,46.68615,49.8452,25.35426,23.50846,28.52263,25.565,21.88067,43.05939,41.72421,91.84507,30.15653,9.99654,9.73619,66.62297,11.99082,9.41831,0.25888
15,2018-04-01,3.79412,57.37577,10.97964,86.70944,10.91297,61.37484,12.68203,36.9797,39.22715,41.509,23.50846,19.44626,22.36756,20.6017,16.6921,34.4901,36.76335,71.17863,26.89341,4.9436,8.70391,63.78502,8.58594,6.66885,0.14746
16,2018-05-01,4.24131,65.35844,13.69052,100.0,15.22928,71.54569,15.68627,34.78385,52.08118,52.40224,25.27432,23.33406,27.51253,25.51413,18.34169,33.6959,46.10382,84.21961,34.04696,6.43991,8.32377,82.87727,8.07799,7.69129,0.50794
17,2018-06-01,4.05799,58.53401,10.69355,58.45068,11.99066,53.95023,12.63616,27.70897,39.32461,40.79807,21.19032,18.62509,20.67436,16.27788,17.57866,22.02463,37.77048,63.82941,29.35082,4.93784,6.24938,65.95117,5.56775,7.18662,0.18679
18,2018-07-01,5.23289,58.62567,13.79885,60.48384,13.99883,60.02751,14.82054,35.38011,45.46496,47.37988,24.46769,22.09141,32.30143,22.13501,22.11321,21.53545,42.02923,70.96569,30.14502,6.76795,8.14681,69.56906,7.63231,7.88792,0.17368
19,2018-08-01,7.68824,62.23648,17.24856,76.64083,18.72343,77.33058,22.53181,42.64419,59.77525,55.89955,34.22716,29.20572,42.47511,33.27519,30.89891,30.20833,58.54051,80.19106,42.96155,12.28706,12.72816,82.99852,18.44666,18.56464,0.19334
20,2018-09-01,9.84362,48.10432,16.61528,66.26392,15.44315,59.69498,23.52941,40.45407,48.8132,51.71998,33.67487,31.32766,39.00152,31.75641,32.15609,28.89042,47.25483,62.47122,35.34185,17.44935,13.25249,66.9474,26.52466,25.07946,0.09175
21,2018-10-01,14.15159,45.25733,10.75188,56.40918,10.74077,51.26132,13.01456,32.30134,58.39926,37.07143,20.18021,23.00704,39.08146,19.92587,19.98401,18.73848,37.3331,54.86302,23.9871,6.31906,6.44928,68.93658,9.53301,19.456,0.12452
22,2018-11-01,17.49298,42.79921,9.99916,57.28967,10.0936,80.18002,12.0055,27.94977,64.78614,36.15411,27.17099,47.51834,31.89448,19.45352,18.58876,17.63927,32.80386,54.29327,23.23319,11.0267,5.80698,65.45633,12.0793,22.88055,0.16385
23,2018-12-01,15.13484,48.58484,12.02677,72.70782,11.82123,92.69005,14.54535,34.21052,54.77009,44.46737,22.75997,21.45919,34.72131,22.28762,20.95777,19.90676,40.19337,75.54097,27.35957,17.65078,7.09159,60.02621,12.23005,14.94347,0.16385
24,2019-01-01,5.03291,45.01013,10.76576,57.4591,12.6295,69.77984,14.83774,32.16947,41.24527,38.87742,21.82254,19.75873,42.51144,20.6671,21.75713,19.25644,37.52877,59.62822,27.45741,5.70902,7.29477,57.8699,15.24168,7.64214,0.17696
25,2019-02-01,4.35797,42.88809,9.50198,52.43729,16.08199,63.39295,13.62802,29.35443,40.8038,36.19997,35.66601,19.11198,42.90385,38.36203,21.39379,18.08816,36.71155,69.93554,28.2401,4.87453,7.78305,51.91545,18.20743,11.52547,0.32443
26,2019-03-01,4.5635,43.82412,10.93519,56.29253,11.30183,59.60898,13.50189,33.2932,40.86687,36.43504,21.25572,20.57989,64.90807,33.29699,19.70787,18.71546,37.47697,87.52877,28.29189,5.62845,7.18335,54.25528,12.87563,8.09765,0.20973
27,2019-04-01,4.19687,39.55503,10.22692,47.30439,10.04082,49.66173,13.71402,31.08588,35.88464,34.42265,17.14264,20.01308,22.62916,20.58716,14.7591,17.00046,34.97928,51.33517,21.22467,5.37523,6.58364,48.92675,7.29477,7.45207,0.17696
28,2019-05-01,7.72435,48.0321,11.77679,52.72616,15.11262,57.05767,21.51702,44.92604,41.29686,46.51416,41.52314,34.64137,48.3177,34.00915,17.93474,17.69106,41.10267,66.54581,24.29212,6.16367,13.68507,64.5027,21.57955,14.79272,0.43585
29,2019-06-01,5.01902,40.61605,10.14359,47.94322,11.13796,48.8132,14.57975,32.8632,36.7045,35.63238,19.59159,22.57103,21.96061,24.34416,16.80837,16.56307,34.16781,47.85911,22.35267,5.52486,8.78584,54.5666,8.71047,9.82139,0.27199
30,2019-07-01,5.46621,45.29067,10.07971,54.75654,12.00177,51.85758,17.28586,41.6294,41.96193,38.84302,20.52903,24.76564,30.94978,29.06765,21.49553,17.81192,37.97191,55.11049,23.94682,5.66298,10.26052,58.56791,12.64296,10.02457,0.25561
31,2019-08-01,6.1967,50.36246,11.23239,61.46709,13.84329,60.77858,18.54145,43.37805,46.34789,42.95952,23.45759,28.37003,35.57154,33.79114,24.87464,20.81031,43.83632,62.40216,26.0244,6.60681,11.64673,63.53268,14.4388,10.37522,0.39324
32,2019-09-01,4.94125,38.08571,8.93258,46.70721,10.82409,46.64029,14.59694,34.49145,34.18759,35.86171,18.85037,25.15078,29.55453,27.05471,17.44059,14.68116,31.62407,45.91965,19.69383,4.45441,9.64116,50.09339,11.50253,9.18236,0.16713
33,2019-10-01,6.1967,45.58231,10.663,56.2953,12.07954,53.7553,17.09092,39.13542,43.06845,41.70393,24.00988,27.716,46.54458,31.18959,20.89237,17.8522,42.68531,59.38075,23.62453,5.6342,10.7357,61.37637,11.20104,10.13272,0.14091
34,2019-11-01,5.68285,47.7599,10.8352,58.48679,11.8629,54.81596,15.20467,35.50051,47.55761,39.35328,24.99818,20.28195,29.97601,21.40832,21.56093,19.81468,43.19751,68.29534,24.80432,5.59392,7.71751,61.08798,11.91872,8.42536,0.18351
