,기간,강남구 교통,강동구 교통,강북구 교통,강서구 교통,관악구 교통,광진구 교통,구로구 교통,금천구 교통,노원구 교통,도봉구 교통,동대문구 교통,동작구 교통,마포구 교통,서대문구 교통,서초구 교통,성동구 교통,성북구 교통,송파구 교통,양천구 교통,영등포구 교통,용산구 교통,은평구 교통,종로구 교통,중구 교통,중량구 교통
0,2017-03-01,1.05932,8.26271,1.05932,21.82203,5.50847,3.33333,1.11111,5.77777,21.11111,1.55555,1.01832,1.01832,2.44399,3.25865,7.94297,2.11019,0.70339,0.58616,0.70339,0.70339,0.21758,30.33072,0.60922,0.65274,0.21758
1,2017-05-01,1.27118,6.35593,1.05932,26.27118,1.27118,1.11111,1.77777,11.77777,52.22222,1.11111,3.25865,1.01832,2.03665,3.46232,2.03665,0.70339,17.46776,0.70339,1.87573,0.58616,0.21758,36.46649,0.5657,0.26109,
2,2017-08-01,1.05932,1.05932,3.38983,26.27118,2.11864,2.22222,3.33333,3.11111,23.55555,4.44444,100.0,1.42566,1.01832,3.05498,1.01832,0.58616,23.44665,5.50996,11.01992,1.17233,0.21758,38.51174,0.52219,0.73977,
3,2017-12-01,2.54237,1.05932,2.54237,11.22881,2.11864,5.33333,1.11111,4.22222,8.22222,1.33333,1.22199,1.01832,2.24032,3.66598,1.22199,0.82063,18.17116,12.89566,10.08206,0.70339,0.21758,29.15578,0.30461,0.21758,
4,2018-01-01,1.05932,5.29661,1.27118,32.62711,6.14406,2.22222,1.11111,25.33333,31.55555,6.66666,2.03665,4.88798,1.01832,1.22199,6.31364,0.58616,29.89449,5.39273,2.93083,0.93786,0.21758,47.73716,0.26109,0.21758,
5,2018-07-01,1.05932,4.87288,1.05932,27.54237,5.29661,12.66666,1.77777,5.33333,15.11111,7.11111,1.22199,1.62932,1.42566,1.01832,4.07331,0.58616,10.66822,6.09613,6.09613,,0.21758,26.10966,0.21758,0.21758,
6,2019-05-01,4.02542,17.79661,1.05932,23.09322,8.47457,3.77777,1.11111,2.66666,24.0,12.0,3.05498,1.01832,1.01832,2.03665,1.22199,1.99296,31.06682,100.0,5.62719,,0.60922,48.47693,0.21758,0.30461,
7,2019-09-01,1.05932,41.52542,1.05932,20.97457,3.81355,24.66666,1.33333,22.0,31.77777,20.88888,1.01832,1.01832,1.01832,1.01832,6.51731,4.68933,32.82532,1.17233,1.28956,,0.21758,39.99129,0.21758,0.21758,
8,2019-12-01,1.27118,4.23728,1.05932,22.03389,4.02542,12.22222,1.33333,8.22222,49.33333,5.77777,1.01832,8.75763,3.05498,5.49898,4.27698,0.58616,12.19226,4.57209,3.28253,,0.21758,34.98694,0.26109,0.52219,
9,2020-04-01,2.9661,17.16101,1.05932,27.3305,1.05932,8.88888,1.33333,3.77777,24.44444,7.77777,1.01832,1.62932,2.03665,2.03665,5.49898,0.58616,17.23329,12.54396,3.28253,,0.26109,39.64316,0.30461,0.5657,
10,2020-06-01,1.48305,23.94067,1.48305,24.57627,8.26271,20.88888,31.33333,7.33333,49.77777,5.11111,1.22199,1.62932,5.09164,5.70264,2.44399,3.98593,32.82532,8.79249,1.17233,,0.21758,41.34029,0.43516,0.21758,
11,2020-07-01,1.05932,30.50847,1.05932,100.0,2.3305,16.88888,1.11111,1.33333,27.77777,7.77777,,3.46232,2.24032,7.53564,3.66598,1.40679,11.60609,3.04806,5.04103,,,37.64142,0.21758,0.21758,
12,2021-01-01,4.02542,29.23728,2.3305,47.45762,3.38983,12.22222,4.0,20.0,22.22222,5.55555,,1.62932,1.22199,9.36863,4.68431,0.70339,9.61313,1.99296,0.58616,,,45.99651,0.26109,0.30461,
13,2021-03-01,1.27118,8.26271,1.27118,18.85593,3.38983,8.66666,2.22222,11.11111,35.11111,1.11111,,3.05498,1.42566,1.83299,1.22199,0.58616,9.26143,7.03399,2.57913,,,38.59878,0.39164,0.26109,
14,2021-06-01,2.3305,26.48305,1.27118,22.66949,3.81355,2.44444,2.66666,11.33333,48.0,2.88888,,1.01832,3.25865,11.81262,3.05498,0.58616,5.74443,7.26846,4.22039,,,32.50652,0.21758,0.21758,
15,,,11.65254,1.27118,16.10169,6.35593,1.33333,76.22222,1.77777,26.88888,1.11111,,1.01832,1.01832,4.07331,2.24032,4.57209,6.09613,14.65416,1.87573,,,39.03394,2.26283,0.65274,
16,,,26.69491,1.05932,19.27966,4.66101,4.88888,1.11111,16.44444,20.88888,2.22222,,1.22199,3.05498,2.24032,1.22199,0.58616,3.75146,1.99296,6.56506,,,30.37423,0.21758,0.21758,
17,,,3.17796,1.48305,18.64406,3.60169,6.66666,1.33333,1.33333,10.0,1.11111,,1.22199,1.01832,3.25865,1.01832,0.58616,5.39273,2.69636,3.63423,,,18.32027,0.21758,0.21758,
18,,,24.57627,13.98305,15.25423,9.74576,4.0,1.55555,3.55555,20.66666,2.44444,,3.05498,2.24032,6.92464,1.01832,0.58616,10.90269,4.92379,3.75146,,,20.19147,,0.52219,
19,,,13.55932,3.38983,22.03389,9.74576,3.55555,6.88888,10.22222,9.55555,2.22222,,1.01832,2.03665,7.1283,1.01832,0.58616,10.31652,1.28956,1.05509,,,20.84421,,0.21758,
20,,,8.05084,1.69491,17.79661,3.17796,2.22222,1.33333,3.33333,9.33333,1.11111,,1.01832,2.24032,9.5723,3.05498,0.58616,6.09613,4.22039,1.75849,,,18.05918,,0.47867,
21,,,13.34745,3.81355,51.48305,2.11864,1.55555,,100.0,13.77777,1.33333,,3.25865,1.01832,10.99796,1.01832,6.09613,8.90973,4.80656,13.24736,,,15.05657,,,
22,,,10.80508,,21.18644,2.11864,1.11111,,6.88888,29.77777,2.66666,,1.22199,1.01832,17.3116,1.01832,1.64126,8.79249,8.08909,2.93083,,,18.9295,,,
23,,,13.55932,,20.97457,3.38983,3.55555,,4.88888,3.55555,2.0,,1.01832,1.01832,8.14663,1.01832,1.17233,10.19929,3.75146,7.15123,,,23.45517,,,
24,,,8.68644,,22.45762,4.23728,1.11111,,6.0,18.22222,2.22222,,29.73523,1.01832,3.46232,2.03665,1.17233,12.42672,5.97889,1.99296,,,18.79895,,,
25,,,29.02542,,32.41525,1.05932,2.44444,,10.44444,8.44444,2.66666,,3.25865,1.01832,14.86761,8.55397,3.75146,12.30949,3.39976,4.92379,,,21.23585,,,
