,기간,강남구 관광,강동구 관광,강북구 관광,강서구 관광,관악구 관광,광진구 관광,구로구 관광,금천구 관광,노원구 관광,도봉구 관광,동대문구 관광,동작구 관광,마포구 관광,서대문구 관광,서초구 관광,성동구 관광,성북구 관광,송파구 관광,양천구 관광,영등포구 관광,용산구 관광,은평구 관광,종로구 관광,중구 관광,중량구 관광
0,2017-01-01,2.03168,17.49311,4.57988,25.30991,5.85399,3.82585,3.07827,2.90237,22.91116,12.489,2.11161,1.65912,17.72247,8.59728,22.09653,1.80009,10.51634,20.60634,5.44765,0.33159,4.98154,19.41881,5.85793,0.23062,0.46125
1,2017-02-01,5.16528,30.44077,4.95867,15.70247,3.54683,7.69569,5.14511,5.14511,40.94107,8.70712,3.84615,3.01659,17.19457,51.58371,90.87481,2.79488,10.70582,47.93936,6.58455,1.37375,3.13653,27.39852,7.24169,0.69188,0.46125
2,2017-03-01,3.1336,73.51928,6.37052,9.05647,5.26859,20.22867,4.26561,4.70536,63.14863,12.04925,6.6365,3.92156,15.98793,31.74962,68.17496,1.70535,29.41733,58.02936,6.11084,0.85267,3.69003,71.03321,4.65867,2.16789,1.06088
3,2017-04-01,2.68595,62.6033,6.95592,5.09641,5.4752,42.04045,6.9481,4.0897,66.00703,19.26121,5.05279,4.90196,12.2926,35.2187,83.55957,2.17906,52.15537,61.86641,9.66366,1.32638,1.93726,78.92066,5.48892,0.87638,0.369
4,2017-05-01,3.78787,70.59228,20.73002,6.23278,9.05647,45.03078,6.4204,7.12401,92.26033,60.94986,9.35143,8.06938,24.13273,61.16138,84.91704,4.12126,65.51397,72.33538,7.91094,0.66319,2.26014,95.75645,10.47047,0.50738,0.738
5,2017-06-01,3.47796,51.48071,21.69421,3.82231,6.68044,21.63588,7.87159,5.36499,70.93227,43.22779,7.6923,5.1282,31.37254,43.96681,40.72398,3.0791,53.48176,45.33396,8.38465,1.37375,2.81365,77.30627,5.85793,0.23062,
6,2017-07-01,3.09917,37.25895,11.63911,2.89256,8.36776,16.09498,6.7722,4.17766,46.96569,28.67194,6.10859,1.73453,40.3469,35.89743,46.83257,4.07389,37.65987,33.15963,5.92136,0.75793,4.42804,32.10332,11.48523,0.9225,
7,2017-08-01,8.09228,69.28374,20.42011,5.78512,14.32506,45.03078,7.38786,7.51978,85.04837,37.77484,9.35143,6.78733,76.62141,45.02262,60.48265,4.07389,46.13927,61.58218,12.12695,1.61061,7.33394,72.14022,20.15682,1.29151,
8,2017-09-01,3.78787,38.25757,10.08953,5.75068,7.67906,15.3474,6.50835,6.55233,47.62532,26.20932,6.93815,4.82654,34.99245,22.17194,35.29411,3.50544,44.57603,35.57555,11.65324,1.9422,3.36715,28.96678,29.42804,0.9225,
9,2017-10-01,3.92561,54.64876,17.83746,8.12672,8.02341,13.76429,7.65171,8.70712,100.0,61.25769,12.66968,7.76772,100.0,34.61538,82.57918,4.78446,78.54097,81.80956,14.49549,4.21601,4.93542,70.80258,74.40036,2.7214,
