"식품인증업소 관리 일련번호","업소번호","업소 명","자치구 코드","자치구 명","업종 코드","업종 명","업태 코드","업태 명","업주 명","식품인증구분","식품인증 구분명","인증일자","사용여부","지도표시여부","식품인증업소 등급","지도 Y좌표","지도 X좌표","전화번호","도로명상세주소","도로명주소코드","도로명주소","허가번호","최초작성일자","최종수정일자","업소인증메뉴","교부번호","인증여부"
"11237","","홍쉐프","3130000","마포구","101","일반음식점","10103","경양식","","14","채식음식점","2020-12-11","Y","Y","","37.5557168","126.9201627","02-325-7971","","","서울 마포구 동교로 164","","","","알리오올리오(비건)","",""
"10115","20190087805","비봉","3180000","영등포구","101","일반음식점","","","이미연","04","저염실천음식점","2020-12-31","Y","Y","","37.527091","126.916922","02-761-9504","","115604154087","서울특별시 영등포구 국회대로62길 15(지하1층 1호 여의도동)","제2020-저염-0618호","","","샤브샤브육수","","Y"
"10113","20170087808","사계정성","3180000","영등포구","101","일반음식점","","","정미자","04","저염실천음식점","2020-12-31","Y","Y","","37.526424","126.917939","02-785-9200","","115602118002","서울특별시 영등포구 의사당대로 26(더하우스소호 지하1층 103호 104호 여의도동)","제2020-저염-0616호","","","사골곰국","","Y"
"10112","20060087043","삼풍숯불갈비","3180000","영등포구","101","일반음식점","","","박수현","04","저염실천음식점","2020-12-31","Y","Y","","37.526293","126.898810","02-2634-3035","","115604154075","서울특별시 영등포구 국회대로38길 8(당산동3가지상1층)","제2020-저염-0614호","","","갈비탕","","Y"
"10093","20130086152","완산골","3180000","영등포구","101","일반음식점","","","이상윤","04","저염실천음식점","2020-12-31","Y","Y","","37.516845","126.905023","  ","","115604154812","서울특별시 영등포구 영중로3길 12(영등포동4가 1층 일부)","제2020-저염-0593호","","","콩나물국","","Y"
"10078","19960086141","참배나무골오리집여의도점","3180000","영등포구","101","일반음식점","","","공해영 외 1명","04","저염실천음식점","2020-12-31","Y","Y","","37.526332","126.917725","02-780-5292","","115604154087","서울특별시 영등포구 국회대로62길 25(교육시설재난공제회관 지하1층 여의도동)","제2020-저염-0578호","","","된장찌개","","Y"
"10025","20090073900","오리골","3140000","양천구","101","일반음식점","","","김미순","04","저염실천음식점","2020-12-31","Y","Y","","37.535427","126.826499","02-2693-9666","","114703000009","서울특별시 양천구 가로공원로 96(1층 신월동)","제2020-저염-0524호","","","오리탕","","Y"
"10055","20010074076","가진항","3140000","양천구","101","일반음식점","","","이성일","04","저염실천음식점","2020-12-31","Y","Y","","37.523904","126.873820","02-2061-3256","","114704142307","서울특별시 양천구 오목로56길 8(목동)","제2020-저염-0554호","","","매운탕","","Y"
"10047","20070073546","돌쇠감자탕순대국","3140000","양천구","101","일반음식점","","","주종욱","04","저염실천음식점","2020-12-31","Y","Y","","37.546785","126.876170","02-2646-3457","","114702005007","서울특별시 양천구 공항대로 642(목동1층공항로 35)","제2020-저염-0546호","","","순대국","","Y"
"9967","20040114805","진국시","3230000","송파구","101","일반음식점","","","고인자","04","저염실천음식점","2020-12-31","Y","Y","","37.505823","127.126415","02-407-7152","","117104169393","서울특별시 송파구 오금로35길 17(오금동현대아파트상가 지하 4호)","제2020-저염-0464호","","","잔치국수","","Y"
"9972","19990115390","유천냉면","3230000","송파구","101","일반음식점","","","최도현","04","저염실천음식점","2020-12-31","Y","Y","","37.528521","127.115583","02-419-4000","","117104169029","서울특별시 송파구 강동대로3길 22(1층 풍납동)","제2020-저염-0469호","","","냉면","","Y"
"9553","20160053646","서울 명품 민물장어","3080000","강북구","101","일반음식점","10199","기타(일반음식점)","곽미이","04","저염실천음식점","2020-12-31","Y","Y","","37.610266","127.032138","02-980-2225","","113053107018","서울특별시 강북구 월계로 19(1층 미아동)","제2020-저염-0034호","","","장어탕","","Y"
"9714","19930056293","흑도야지","3090000","도봉구","101","일반음식점","10118","식육취급","변락현","04","저염실천음식점","2020-12-31","Y","Y","","37.658769","127.038842","02-996-9458","","113204127222","서울특별시 도봉구 방학로3길 102(1층 쌍문동)","제2020-저염-0199호","",""," 청국장","","Y"
"9827","19950066757","삼진식당","3120000","서대문구","101","일반음식점","10105","분식","유은주","04","저염실천음식점","2020-12-31","Y","Y","","37.563784","126.944089","02-0312-5807","","114103005060","서울특별시 서대문구 성산로 527","제2020-저염-0335호","","","대구탕","","Y"
"9668","20080059544","우리수산","3100000","노원구","101","일반음식점","10104","일식","조정태","04","저염실천음식점","2020-12-31","Y","Y","","37.669574","127.080858","02-937-3132","","113503000004","서울특별시 노원구 덕릉로 818(101호 상계동상계6구역37블럭7롯트)","제2020-저염-0153호","","","매운탕","","Y"
"10161","19870029241","참복집","3010000","중구","101","일반음식점","10104","일식","윤명자","04","저염실천음식점","2020-12-31","Y","Y","","37.562472","126.978290","02-779-0681","","111404103189","서울특별시 중구 세종대로14길 28-6(북창동)","제2020-저염-0664호","","","복국지리","","Y"
"10188","19840029008","미도리회집","3010000","중구","101","일반음식점","10104","일식","정옥기","04","저염실천음식점","2020-12-31","Y","Y","","37.560561","126.986590","02-0776-5560","","111404103331","서울특별시 중구 퇴계로22길 7(남산동3가)","제2020-저염-0692호","","","다시마된장국","","Y"
