"개방자치단체코드","관리번호","인허가일자","인허가취소일자","영업상태코드","영업상태명","상세영업상태코드","상세영업상태명","폐업일자","휴업시작일자","휴업종료일자","재개업일자","전화번호","소재지면적","소재지우편번호","지번주소","도로명주소","도로명우편번호","사업장명","최종수정일자","데이터갱신구분","데이터갱신일자","업태구분명","좌표정보(X)","좌표정보(Y)","문화체육업종명","문화사업자구분명","지역구분명","총층수","주변환경명","제작취급품목내용","보험기관명","건물용도명","지상층수","지하층수","객실수","건축연면적","영문상호명","영문상호주소","선박총톤수","선박척수","선박제원","무대면적","좌석수","기념품종류","회의실별동시수용인원","시설면적","놀이기구수내역","놀이시설수","방송시설유무","발전시설유무","의무실유무","안내소유무","기획여행보험시작일자","기획여행보험종료일자","자본금","보험시작일자","보험종료일자","부대시설내역","시설규모","관광숙박업상세명"
"3220000","CDFI2260031993000002","19930205","","01","영업/정상","13","영업중","","","","","","","","서울특별시 강남구 논현동 152번지 외 4필지 152-1 2 3 4","서울특별시 강남구 논현로 645 (논현동 뉴힐탑호텔)","06116","엘리에나호텔","20200618165738","U","2019-12-05 22:00:00.0","","202670.053376769","445410.505681503","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"3130000","CDFI2260032016000001","20160527","","03","폐업","03","폐업","20200929","","","","","","","서울특별시 마포구 망원동 405-27","서울특별시 마포구 희우정로16길 31 (망원동)","04008","Alveolus(앨비어러스)","20201005140743","U","2019-10-31 00:07:00.0","","191415.339342271","450275.024623503","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"3160000","CDFI2260032020000001","20200525","","01","영업/정상","13","영업중","","","","","","","","서울특별시 구로구 가리봉동 135-90","서울특별시 구로구 남부순환로105다길 13 (가리봉동)","08395","골드 마운틴77","20210614143502","U","2020-12-05 23:06:00.0","","190302.811716913","441970.080120562","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"3210000","CDFI2260031999000001","19990106","","03","폐업","03","폐업","20170929","","","","3486-6000","","137876","서울특별시 서초구 서초동 1594-3번지 ","서울특별시 서초구 효령로55길 39 (서초동)","","센트로관광호텔","20180601131222","I","2018-08-31 23:59:59.0","","201170.070004848    ","442708.003635745    ","관광숙박업","관광사업","근린상업지역","8","기타","","","근린생활시설","8","2","94","8286","","","","","","","","","","8285.57","","","","","","","","","","","","","8286","관광호텔업"
"3220000","CDFI2260032018000003","20180323","","01","영업/정상","13","영업중","","","","","","","","서울특별시 강남구 역삼동 628-12번지 호텔 세느 ","'서울특별시 강남구 논현로 533 호텔 세느 (역삼동)'","06126","호텔 세느","20180516155649","I","2018-08-31 23:59:59.0","","203033.435          ","444637.16           ","관광숙박업","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","관광호텔업"
"3220000","CDFI2260032018000002","20180321","","01","영업/정상","13","영업중","","","","","","","","서울특별시 강남구 신사동 587-21번지 ","서울특별시 강남구 도산대로 203 (신사동)","06026","포포인츠바이쉐라톤서울강남","20180418161259","I","2018-08-31 23:59:59.0","","202447.848471025    ","446447.1648066      ","관광숙박업","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","관광호텔업"
"3220000","CDFI2260032018000001","20180309","","01","영업/정상","13","영업중","","","","","025575001","","","서울특별시 강남구 역삼동 723-3번지 ","서울특별시 강남구 언주로85길 27 (역삼동)","06222","오월호텔","20180802135423","I","2018-08-31 23:59:59.0","","203563.297317024    ","444266.609812808    ","관광숙박업","","일반주거지역","","","","","","","","","","","","","","","","","","","3281.33","","","","","","","","","","","","","3281","관광호텔업"
"3220000","CDFI2260032017000005","20171215","","01","영업/정상","13","영업중","","","","","02  20111000","","","서울특별시 강남구 삼성동 142-41번지 ","'서울특별시 강남구 테헤란로 415 L7 HOTELS 강남타워 (삼성동)'","06160","(주)호텔롯데 L7 강남","20200306092748","U","2020-03-08 02:40:00.0","","204488.365267013    ","444832.873128843    ","관광숙박업","","일반상업지역","33","","","","호텔","27","6","","","","","","","","","","","","33584.29","","","","","","","","","511748520000","","","","33584","관광호텔업"
"3010000","CDFI2260032021000002","20210616","","01","영업/정상","13","영업중","","","","","","","","서울특별시 중구 남산동2가 43-7","서울특별시 중구 소공로6길 38 (남산동2가)","04630","올리브 호스텔","20210616110627","I","2020-12-05 23:08:00.0","","198614.550199488","450677.047277743","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"3220000","CDFI2260032017000003","20170720","","01","영업/정상","13","영업중","","","","","02   5001500","","","서울특별시 강남구 청담동 48-3번지 ","서울특별시 강남구 도산대로 508 (청담동)","06070","호텔 엔트라","20170720192657","I","2018-08-31 23:59:59.0","","204216.450027497    ","446867.588235408    ","관광숙박업","","","24","","","","호텔","20","4","92","5666","HOTEL ENTRA","TOURIST HOTEL BUSINESS","","","","","","","","5666.38","","","","","","","","","","","","","5666","관광호텔업"
