"개방자치단체코드","관리번호","인허가일자","인허가취소일자","영업상태코드","영업상태명","상세영업상태코드","상세영업상태명","폐업일자","휴업시작일자","휴업종료일자","재개업일자","전화번호","소재지면적","소재지우편번호","지번주소","도로명주소","도로명우편번호","사업장명","최종수정일자","데이터갱신구분","데이터갱신일자","업태구분명","좌표정보(X)","좌표정보(Y)","문화체육업종명","문화사업자구분명","지역구분명","총층수","주변환경명","제작취급품목내용","보험기관명","건물용도명","지상층수","지하층수","객실수","건축연면적","영문상호명","영문상호주소","선박총톤수","선박척수","선박제원","무대면적","좌석수","기념품종류","회의실별동시수용인원","시설면적","놀이기구수내역","놀이시설수","방송시설유무","발전시설유무","의무실유무","안내소유무","기획여행보험시작일자","기획여행보험종료일자","자본금","보험시작일자","보험종료일자","부대시설내역","시설규모"
"3020000","CDFI3261042008000002","20080807","","01","영업/정상","13","영업중","","","","","","","140201","서울특별시 용산구 이태원동 119-18번지 지상2층 ","서울특별시 용산구 이태원로 169  (이태원동지상2층)","","카레타운","20090805154149","I","2018-08-31 23:59:59.0","","199281.891742925    ","448046.825938436    ","관광식당업","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"3000000","CDFI3261042006000001","20061123","","01","영업/정상","13","영업중","","","","","02-730-2051","","110210","서울특별시 종로구 화동 117번지 ","서울특별시 종로구 북촌로 31-22  (화동)","","씨제이푸드(주) 에프터더레인 안국점 (정진구)","20061206102054","I","2018-08-31 23:59:59.0","","198494.536929924    ","453028.454112337    ","관광식당업","관광사업","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"3000000","CDFI3261042009000001","20090413","","01","영업/정상","13","영업중","","","","","747-2976","","110843","서울특별시 종로구 창신동 695-1번지 3층 ","서울특별시 종로구 종로 291  (창신동3층)","","안나푸르나(Anna Purna)","20090507113048","I","2018-08-31 23:59:59.0","","200820.411204476    ","452168.573383761    ","관광식당업","","","","","","","","3","","","","","","","","","","","","","","","","","","","","","","","","","",""
"3020000","CDFI3261042008000006","20080929","","01","영업/정상","13","영업중","","","","","7020424","","140851","서울특별시 용산구 원효로4가 137번지 ","서울특별시 용산구 효창원로 4  (원효로4가)","","(주)테크데이타 원효로지점 포이삽사","20090807095922","I","2018-08-31 23:59:59.0","","195563.788982635    ","447943.344696362    ","관광식당업","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"3020000","CDFI3261042008000007","20080908","","01","영업/정상","13","영업중","","","","","2012-0696","","140780","서울특별시 용산구 한강로3가 40-999번지 현대아이몰 6층 ","","","경풍루","20090807100116","I","2018-08-31 23:59:59.0","","196762.077394917    ","447480.039577359    ","관광식당업","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"3020000","CDFI3261042008000008","20080721","","01","영업/정상","13","영업중","","","","","553-9000","","140858","서울특별시 용산구 이태원동 124-12번지 지하1층 ","서울특별시 용산구 이태원로27나길 36  (이태원동지하1층)","","빌라소르티노","20090807100402","I","2018-08-31 23:59:59.0","","199632.959605916    ","448092.468023687    ","관광식당업","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"3020000","CDFI3261042008000009","20080702","","01","영업/정상","13","영업중","","","","","","","140864","서울특별시 용산구 이태원동 172-2번지 덕흥빌딩 지하1층 ","서울특별시 용산구 이태원로 153  (이태원동덕흥빌딩 지하1층)","","아그라","20090807100820","I","2018-08-31 23:59:59.0","","199134.383021812    ","448041.584512742    ","관광식당업","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"3020000","CDFI3261042008000010","20080614","","01","영업/정상","13","영업중","","","","","795-6751","","140884","서울특별시 용산구 한남동 263-10번지 ","서울특별시 용산구 독서당로 73  (한남동)","","웨스턴차이나","20090807105420","I","2018-08-31 23:59:59.0","","200693.652523916    ","447995.83193563     ","관광식당업","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"3020000","CDFI3261042008000012","20080610","","01","영업/정상","13","영업중","","","","","798-9277","","140858","서울특별시 용산구 이태원동 127-2번지 지상2층 ","서울특별시 용산구 이태원로 192  (이태원동지상2층)","","두바이","20090807105859","I","2018-08-31 23:59:59.0","","199520.280404591    ","448012.047528971    ","관광식당업","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"3020000","CDFI3261042008000013","20080425","","01","영업/정상","13","영업중","","","","","798-1253","","140884","서울특별시 용산구 한남동 732-151번지 ","서울특별시 용산구 우사단로10길 45  (한남동)","","와즈완","20090807110141","I","2018-08-31 23:59:59.0","","199761.516540919    ","447856.18609032     ","관광식당업","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
