"개방자치단체코드","관리번호","인허가일자","인허가취소일자","영업상태코드","영업상태명","상세영업상태코드","상세영업상태명","폐업일자","휴업시작일자","휴업종료일자","재개업일자","전화번호","소재지면적","소재지우편번호","지번주소","도로명주소","도로명우편번호","사업장명","최종수정일자","데이터갱신구분","데이터갱신일자","업태구분명","좌표정보(X)","좌표정보(Y)","문화체육업종명","문화사업자구분명","지역구분명","총층수","주변환경명","제작취급품목내용","보험기관명","건물용도명","지상층수","지하층수","객실수","건축연면적","영문상호명","영문상호주소","선박총톤수","선박척수","선박제원","무대면적","좌석수","기념품종류","회의실별동시수용인원","시설면적","놀이기구수내역","놀이시설수","방송시설유무","발전시설유무","의무실유무","안내소유무","기획여행보험시작일자","기획여행보험종료일자","자본금","보험시작일자","보험종료일자","부대시설내역","시설규모"
"3000000","CDFI2262212014000023","20141210","","01","영업/정상","13","영업중","","","","","","","","서울특별시 종로구 숭인동 178-96번지 202호","'서울특별시 종로구 종로65길 20-6 202호 (숭인동)'","03112","부엉이 게스트하우스(OWL Guesthouse)","20180208111112","I","2018-08-31 23:59:59.0","","201710.257260266    ","452567.221872784    ","외국인관광 도시민박업","","일반주거지역","3","주택가주변","","","다가구용 주택(공동주택적용)","2","1","","","","","","","","","","","","62.15","","","","","","","","","","","","","62"
"3000000","CDFI2262212014000020","20141024","","01","영업/정상","13","영업중","","","","","","","","서울특별시 종로구 신문로2가 1-135번지 2층 ","'서울특별시 종로구 경희궁길 47-1 2층 (신문로2가)'","03176","뿡갈로(BBUNGALOW)","20180208110957","I","2018-08-31 23:59:59.0","","197162.370048856    ","452333.192103108    ","외국인관광 도시민박업","","일반주거지역","3","기타","","","단독주택","2","1","","","BBUNGALOW","Urban Tourist Home for Foreigner Only","","","","","","","","76.2","","","","","","","","","100000000","","","","76"
"3220000","CDFI2262212015000001","20150119","","03","폐업","03","폐업","20201229","","","","","","135950","서울특별시 강남구 청담동 34-1 영동골든빌라 나동 303호","서울특별시 강남구 학동로67길 20 나동 303호 (청담동 영동골들빌라)","","케이걸 하우스(K-Girl House)","20201229181218","U","2019-11-01 21:01:00.0","","204107.925523143","446383.414219337","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"3000000","CDFI2262212014000011","20140609","","01","영업/정상","13","영업중","","","","","","","","서울특별시 종로구 창신동 583-91","서울특별시 종로구 창신길 80-5 (창신동)","03096","비하우스(B-House)","20210201140131","U","2020-12-02 00:03:00.0","","200891.769017823","452531.494422428","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"3000000","CDFI2262212014000017","20140829","","01","영업/정상","13","영업중","","","","","070-8966-0955","","","서울특별시 종로구 명륜2가 195-10번지 ","서울특별시 종로구 창경궁로 243-3 (명륜2가)","03074","봉 백팩커스(Bong Backpackers)","20180208110839","I","2018-08-31 23:59:59.0","","199828.530201124    ","453468.553768826    ","외국인관광 도시민박업","","일반상업지역","4","기타","","","다가구용 주택(공동주택적용)","3","1","","","","","","","","","","","","123.97","","","","","","","","","50000000","","","","124"
"3000000","CDFI2262212014000014","20140730","","01","영업/정상","13","영업중","","","","","","","","서울특별시 종로구 관수동 161-6번지 ","서울특별시 종로구 종로16길 31-8 (관수동)","03191","서울 게스트하우스","20180208110708","I","2018-08-31 23:59:59.0","","198967.787281378    ","451809.264639254    ","외국인관광 도시민박업","","일반상업지역","1","유흥업소밀집지역","","","단독주택","1","","","","","","","","","","","","","45.83","","","","","","","","","50000000","","","","46"
"3000000","CDFI2262212014000013","20140723","","01","영업/정상","13","영업중","","","","","","","","서울특별시 종로구 신교동 75-1번지 ","서울특별시 종로구 자하문로 97-13 (신교동)","03032","오 마이 게스트하우스","20200213165912","U","2020-02-15 02:40:00.0","","197259.77541079     ","453564.162968827    ","외국인관광 도시민박업","","일반주거지역","2","학교정화(상대)","","","단독주택","2","","8","131","OH MY GUESTHOUSE","Traditional Korean housing experiencing business","","","","","","","","131.27","","","","","","","","","100000000","","","","131"
"3000000","CDFI2262212014000012","20140612","","01","영업/정상","13","영업중","","","","","","","","서울특별시 종로구 통의동 35-68번지 ","서울특별시 종로구 자하문로6길 14 (통의동)","03044","숨바꼭질(Hide & Seek)","20190312180008","U","2019-03-14 02:40:00.0","","197528.669594576    ","452859.908108473    ","외국인관광 도시민박업","","일반주거지역","4","주택가주변","","","단독주택","3","1","5","","Hide & Seek","Urban Tourist Home for Foreigner Only","","","","","","","","229.09","","","","","","","","","50000000","","","","229"
"3000000","CDFI2262212017000026","20171211","","01","영업/정상","13","영업중","","","","","","","","서울특별시 종로구 통인동 79-2번지 ","서울특별시 종로구 자하문로11길 21 (통인동)","03036","럭키엠","20180116103606","I","2018-08-31 23:59:59.0","","197279.4797179      ","453044.973178608    ","외국인관광 도시민박업","","일반주거지역","3","기타","","","단독주택","3","0","2","","Lucky M","Urban Tourist Home for Foreigner Only","","","","","","","","210","","","","","","","","","","","","","210"
"3000000","CDFI2262212017000021","20170802","","01","영업/정상","13","영업중","","","","","","","","'서울특별시 종로구 이화동 8-6번지 12층 '","'서울특별시 종로구 이화장1나길 13 12층 (이화동)'","03088","게스트하우스 이화 휴","20170802092419","I","2018-08-31 23:59:59.0","","200514.891465768    ","452821.695804417    ","외국인관광 도시민박업","","주거지역","3","주택가주변","","","단독주택","2","1","","","GUESTHOUSE EEHWA HUE","Urban Tourist Home for Foreigner Only","","","","","","","","146.58","","","","","","","","","","","","","147"
