"area1","area2","type","NAME","addr_jibun","addr_road","telephone","latitude","longitude"
"서울특별시","강남구","관광지","판소리(수궁가)","서울특별시 강남구 논현동 13-14","서울특별시 강남구 도산대로8길 17-7(논현동, 대현빌라)","1600-0064","37.5161226","127.022911"
"서울특별시","강남구","관광지","인천해관문서","서울특별시 강남구 논현동 71","서울특별시 강남구 언주로 721(논현동)","02-510-1114","37.5183005","127.033778"
"서울특별시","강남구","관광지","운봉수향낭","서울특별시 강남구 논현동 89-4","서울특별시 강남구 논현로132길 34(논현동)","02-515-5118","37.5153976","127.033323"
"서울특별시","강남구","관광지","봉화산 도당굿","서울특별시 강남구 대치동 916-80","서울특별시 강남구 삼성로69길 29-1(대치동)","1600-0064","37.5010032","127.057070"
"서울특별시","강남구","관광지","입사장","서울특별시 강남구 삼성동","서울특별시 강남구 봉은사로114길 43(삼성동)","1600-0064","37.5130313","127.066655"
"서울특별시","강남구","관광지","남사당놀이","서울특별시 강남구 삼성동 112-2","서울특별시 강남구 봉은사로 406(삼성동)","02-566-6300","37.5100930","127.044624"
"서울특별시","강남구","관광지","봉은사영산회상도","서울특별시 강남구 삼성동 73","서울특별시 강남구 봉은사로 531(삼성동)","02-3218-4812","37.5158257","127.057734"
"서울특별시","강남구","관광지","전주이씨 광평대군파 묘역","서울특별시 강남구 수서동 산10-1","서울특별시 강남구 광평로31길 20(수서동)","02-459-4733","37.4865192","127.092136"
"서울특별시","강남구","관광지","삼해주약주","서울특별시 강남구 압구정동 369-1","서울특별시 강남구 압구정로29길 71(압구정동, 현대아파트)","1600-0064","37.5336032","127.028325"
"서울특별시","강남구","관광지","선종유심결등합철","서울특별시 강남구 압구정동 481","서울특별시 강남구 압구정로 309(압구정동, 현대아파트)","1600-0064","37.5319211","127.035538"
"서울특별시","강남구","관광지","우암송시열 초구 일령","서울특별시 강남구 압구정동 489","서울특별시 강남구 압구정로 321(압구정동, 한양아파트)","1600-0064","37.5295119","127.038376"
"서울특별시","강남구","관광지","강령탈춤","서울특별시 강남구 역삼동 683-2","서울특별시 강남구 선릉로107길 3-4(역삼동)","02-566-6300","37.5088926","127.043844"
"서울특별시","강남구","관광지","삼강행실도","서울특별시 강남구 역삼동 736-1","서울특별시 강남구 테헤란로 142(역삼동)","1600-0064","37.4997440","127.034954"
"서울특별시","강남구","관광지","승무","서울특별시 강남구 자곡동","서울특별시 강남구 밤고개로 215(자곡동)","1600-0064","37.4749982","127.106869"
"서울특별시","강남구","관광지","완남부원군 이후원 묘역","서울특별시 강남구 자곡동 산39-3","","02-445-2115","37.4753485","127.095802"
"서울특별시","강동구","관광지","문희공유창묘역","서울특별시 강동구 상일동 190","서울특별시 강동구 상암로79가길 49","02-427-4027","37.5469448","127.169806"
"서울특별시","강동구","관광지","광주이씨광릉부원군파묘역","서울특별시 강동구 암사동 산12-1 외","서울특별시 강동구 암사동 산12-1 외","02-3426-1096","37.5634408","127.145291"
"서울특별시","강동구","관광지","서울암사동유적","서울특별시 강동구 암사동139-2일원","서울특별시 강동구 올림픽로 875","02-3425-6520","37.5598523","127.130833"
"서울특별시","강서구","관광지","양천고성지","서울특별시 강서구 가양동 산4-7외 5필지","서울특별시 강서구 양천로47나길 52-54","02-2600-6456","37.5742530","126.841331"
"서울특별시","관악구","관광지","미당서정주의 집","서울특별시 관악구 남현동 1071-11","서울특별시 관악구 남부순환로 256 나길 4","02-879-5607","37.4734465","126.973399"
"서울특별시","관악구","관광지","효민공 이경직 묘역","서울특별시 관악구 남현동 산 57-48","","02-879-5618","37.4700605","126.974513"
"서울특별시","관악구","관광지","낙성대 삼층석탑","서울특별시 관악구 봉천동 228","서울특별시 관악구 낙성대로 77 (봉천동)","02-879-5618","37.4719720","126.959371"
"서울특별시","관악구","관광지","강감찬전시관","서울특별시 관악구 봉천동 228","서울특별시 관악구 낙성대로 77 낙성대공원내","02-879-5619","37.4719720","126.959371"
"서울특별시","관악구","관광지","정정공 강사상 묘역","서울특별시 관악구 신림동 산 107-2","","02-523-4050","37.4662592","126.917932"
"서울특별시","관악구","관광지","봉천동 마애미륵불 좌상","서울특별시 관악구 인헌동 산 4-9","","02-879-5618","",""
"서울특별시","금천구","관광지","순흥안씨양도공파묘군","서울특별시 금천구 시흥동 산126-1","서울특별시 금천구 독산로36나길 63","02-2627-1453","37.4582196","126.909157"
"서울특별시","금천구","관광지","서울호암산성","서울특별시 금천구 시흥동 산93-2","서울특별시 금천구 호암로 192","02-2627-1453","37.4461395","126.922118"
"서울특별시","노원구","관광지","초안산캠핑장","서울특별시 노원구 월계동 750","","02-2289-6865","37.6427608","127.049854"
"서울특별시","도봉구","관광지","호안공 이등과 의령옹주 묘역","서울특별시 도봉구 도봉동 산 85번지","서울특별시 도봉구 도봉동 산85","02-2091-2265","37.6787932","127.022492"
"서울특별시","도봉구","관광지","전주 이씨 영해군파 묘역","서울특별시 도봉구 도봉로169라길 111-6 (도봉동)","서울특별시 도봉구 도봉로169라길 111-6","02-2091-2265","37.6788872","127.029637"
"서울특별시","도봉구","관광지","도봉사 치성광여래삼존도","서울특별시 도봉구 도봉산길 89","서울특별시 도봉구 도봉산길 89","02-2091-2265","37.6852238","127.030311"
"서울특별시","도봉구","관광지","만월암석불좌상","서울특별시 도봉구 도봉산길 89","서울특별시 도봉구 도봉산길 92-4","02-2091-2265","37.6995447","127.018817"
"서울특별시","도봉구","관광지","도봉서원과 각석군","서울특별시 도봉구 도봉산길 90","서울특별시 도봉구 도봉산길 90","02-2091-2265","37.6882941","127.029152"
"서울특별시","도봉구","관광지","천축사 목조불단","서울특별시 도봉구 도봉산길 92-2","서울특별시 도봉구 도봉산길 92-2","02-2091-2265","37.6942136","127.019365"
"서울특별시","도봉구","관광지","천축사 목조석가삼존불","서울특별시 도봉구 도봉산길 92-2 (도봉동)","서울특별시 도봉구 도봉산길 92-2","02-2091-2265","37.6942136","127.019365"
"서울특별시","도봉구","관광지","석굴암 천룡도","서울특별시 도봉구 도봉산길 92-4","서울특별시 도봉구 도봉산길 92-4","02-2091-2265","37.6995447","127.018817"
"서울특별시","도봉구","관광지","한일섭제 박종선류 아쟁산조","서울특별시 도봉구 방학동","서울특별시 도봉구 방학동","02-2091-2265","37.6658975","127.026875"
"서울특별시","도봉구","관광지","방학동 은행나무","서울특별시 도봉구 방학동 546-1","서울특별시 도봉구 방학로17길 6","02-2091-2265","37.6612804","127.023100"
"서울특별시","도봉구","관광지","서울 연산군묘","서울특별시 도봉구 방학동 산77번지","서울특별시 도봉구 방학로17길 46","02-2091-2265","37.6613923","127.021785"
"서울특별시","도봉구","관광지","충정공 목서흠 묘역","서울특별시 도봉구 방학로 252-18 (방학동)","서울특별시 도봉구 방학로 252-18","02-2091-2265","37.6621451","127.024635"
"서울특별시","도봉구","관광지","양효공 안맹담과 정의공주 묘역","서울특별시 도봉구 방학로 264 (방학동)","서울특별시 도봉구 방학로 264","02-2091-2265","37.6621945","127.023127"
"서울특별시","도봉구","관광지","서울 방학동 전형필 가옥","서울특별시 도봉구 시루봉로 149-18","서울특별시 도봉구 시루봉로 149-18","02-2091-2265","37.6648929","127.028186"
"서울특별시","도봉구","관광지","율창 유의호 송서","서울특별시 도봉구 창동","서울특별시 도봉구 창동","02-2091-2265","37.6522582","127.045432"
"서울특별시","도봉구","관광지","서울 초안산분묘군","서울특별시 도봉구 창동 산 202-1","서울특별시 도봉구 창동 산202-1 외","02-2091-2265","37.6379422","127.044684"
"서울특별시","마포구","관광지","노을공원 가족캠핑장","서울특별시 마포구 상암동 481-6","서울특별시 마포구 하늘공원로 108-1","02-304-3213","37.5693180","126.878511"
"서울특별시","마포구","관광지","한강공원 난지캠핑장","서울특별시 마포구 상암동 495-81","서울특별시 마포구 한강난지로 28","02-304-0061","37.5701840","126.872592"
"서울특별시","서초구","관광지","헌인릉","서울특별시 서초구 내곡동 산 13-1","서울특별시 서초구 헌인릉길 36-10","02-440-0347","37.4653774","127.083715"
"서울특별시","서초구","관광지","세빛섬, 반포대교 달빛무지개분수","서울특별시 서초구 반포동 650","서울특별시 서초구 올림픽대로 683","1566-3433","",""
"서울특별시","서초구","관광지","삼성딜라이트","서울특별시 서초구 서초동 1320-10","서울특별시 서초구 서초대로74길 11","02-2255-2277","37.4966333","127.026914"
"서울특별시","서초구","관광지","국립국악원","서울특별시 서초구 서초동 700","서울특별시 서초구 남부순환로 2364","02-580-3300","37.4777188","127.009818"
"서울특별시","서초구","관광지","예술의전당","서울특별시 서초구 서초동 700","서울특별시 서초구 남부순환로 2406","02-580-1300","37.4802402","127.014215"
"서울특별시","서초구","관광지","매헌 윤봉길의사 기념관","서울특별시 서초구 양재동 236","서울특별시 서초구 매헌로 99","02-577-9932","37.4730498","127.036977"
"서울특별시","서초구","관광지","고투몰","서울특별시 서초구 잠원동 68-17","서울특별시 서초구 신반포로 200","02-535-8182","37.5062203","127.005051"
"서울특별시","성동구","관광지","성동 서울숲 여름캠핑장","서울특별시 성동구 성수동1가 685-20","서울특별시 성동구 뚝섬로 273","02-2286-5657","37.5430701","127.041799"
"서울특별시","성동구","관광지","안정사터 마애불 명문 약사불","서울특별시 성동구 하왕십리동 998","","02-2286-5203","37.5606055","127.026874"
"서울특별시","성동구","관광지","아기씨당","서울특별시 성동구 행당동 128-901","","02-2286-5203","37.5577778","127.037579"
"서울특별시","성북구","관광지","심우장","서울특별시 성북구 성북동 222-1","서울특별시 성북구 성북로29길 24","02-741-4693","37.5936269","126.991664"
"서울특별시","성북구","관광지","길상사","서울특별시 성북구 성북동 324-1","서울특별시 성북구 선잠로5길 68(성북동)","02-3672-5945","37.5991094","126.994652"
"서울특별시","성북구","관광지","한국가구박물관","서울특별시 성북구 성북동 330-577","서울특별시 성북구 대사관로121","02-745-0181","37.6003783","126.993449"
"서울특별시","은평구","관광지","인조별서유기비","서울특별시 은평구 역촌동 8-12","","02-351-6522","37.6087458","126.916627"
"서울특별시","은평구","관광지","은평역사한옥박물관","서울특별시 은평구 진관동 135-5","서울특별시 은평구 연서로50길 8","02-351-8525","37.6403336","126.938008"
"서울특별시","은평구","관광지","금성당","서울특별시 은평구 진관동 175-836","서울특별시 은평구 진관2로 57-23","02-388-6522","37.6351344","126.925378"
"서울특별시","은평구","관광지","북한산 캠핑장","서울특별시 은평구 진관동 330-14번지","서울특별시 은평구 북한산로 232-1, 북한산글램핑장 (진관동)","02-351-6535","37.6501582","126.937826"
"서울특별시","은평구","관광지","금암기적비","서울특별시 은평구 진관동 45-4","","02-351-6522","37.6442108","126.918180"
"서울특별시","중랑구","관광지","중랑캠핑숲","서울특별시 중랑구 망우동 76","서울특별시 망우로87길 110","02-434-4371","37.6049551","127.109960"
"서울특별시","중랑구","관광지","망우리공원","서울특별시 중랑구 망우동 산 57-1","서울특별시 망우로 570","02-2094-1812","",""
"서울특별시","중랑구","관광지","용마폭포공원","서울특별시 중랑구 면목동 산 1-4","서울특별시 중랑구 용마산로 250-12","02-2094-2965","37.5733520","127.089122"
"서울특별시","중랑구","관광지","옹기테마공원","서울특별시 중랑구 신내동 777","서울특별시 신내로21길 116","02-2094-1813","37.6126537","127.088519"
"서울특별시","강남구","관광지","원숭이학교","서울특별시 강남구 삼성동 156 부방빌딩","서울특별시 강남구 삼성1동","","37.5143912","127.062527"
"서울특별시","강남구","관광지","선정릉(세계문화유산)","서울특별시 강남구 삼성동 188 삼성동센트럴아이파크","서울특별시 강남구 삼성2동","","37.5112632","127.046070"
"서울특별시","강남구","관광지","광평대군묘역일원","서울특별시 강남구 수서동 756 대한예수교장로회 수서교회","서울특별시 강남구 수서동","","37.4888878","127.105004"
"서울특별시","강남구","관광지","광평대군묘","서울특별시 강남구 일원동 735-4 서울일원본동우체국","서울특별시 강남구 일원본동","","37.483313","127.086498"
"서울특별시","강동구","관광지","금강난식물원","서울특별시 강동구 길동 476","서울특별시 강동구 길동","","37.5344859","127.142712"
"서울특별시","강동구","관광지","한라식물원","서울특별시 강동구 둔촌동 437 근호빌딩","서울특별시 강동구 둔촌2동","","37.533348","127.141963"
